Dataset,Transform,Sample_Index,Sample_ID,Actual_Stiffness,Original_Ensemble_Prediction,Transformed_Ensemble_Prediction,Signed_Prediction_Change,Absolute_Prediction_Change,Relative_Prediction_Change_Percent,Original_Member_Std,Transformed_Member_Std,Original_Absolute_Error,Transformed_Absolute_Error,Numerically_Unchanged_At_1e_8
Test,mirror_x,97,randomness_0.6266,0.02275308407843113,0.016261043772101403,0.015792343020439147,-0.0004687007516622557,0.0004687007516622557,2.88235342227165,0.0004956130381370528,0.0004921766161312186,0.0064920403063297265,0.006960741057991982,False
Test,mirror_x,98,randomness_0.9870,0.0015948686050251126,0.000939031631423859,0.0007907792285550385,-0.00014825240286882042,0.00014825240286882042,15.787796481788845,0.0008457456657246078,0.0006963213756136837,0.0006558369736012537,0.0008040893764700741,False
Test,mirror_x,99,randomness_0.8929,0.0076829856261610985,0.008540288358926774,0.008661301620304585,0.00012101326137781143,0.00012101326137781143,1.4169692672182643,0.0008374840578941235,0.0004635508282423226,0.0008573027327656753,0.0009783159941434867,False
Test,mirror_y,0,randomness_0.4364,0.029904160648584366,0.02819271422922611,0.028157228976488112,-3.548525273799896e-05,3.548525273799896e-05,0.12586674858433108,0.0010294116984001253,0.000953311791875059,0.0017114464193582549,0.0017469316720962538,False
Test,mirror_y,1,randomness_0.8999,0.0001607175508979708,0.0019354157440830023,0.0016090806340798736,-0.00032633511000312865,0.00032633511000312865,16.861240847131057,0.001302676664390733,0.0013154193328805748,0.0017746981931850315,0.0014483630831819028,False
Test,mirror_y,2,randomness_0.3463,0.028783505782485008,0.03082413300871849,0.030848492681980134,2.4359673261642456e-05,2.4359673261642456e-05,0.07902792677008114,0.0007648223107890366,0.00043900639740202424,0.002040627226233483,0.0020649868994951255,False
Test,mirror_y,3,randomness_0.0601,0.038523707538843155,0.03914892598986626,0.039384647458791736,0.00023572146892547607,0.00023572146892547607,0.6021147782866197,0.0004659725951167148,0.00017983803046896108,0.0006252184510231046,0.0008609399199485807,False
Test,mirror_y,4,randomness_0.8679,0.008534790016710758,0.008498804457485677,0.009776258282363415,0.0012774538248777386,0.0012774538248777386,15.03098266665693,0.0004924190851258075,0.0005316906139569549,3.5985559225081704e-05,0.001241468265652657,False
Test,mirror_y,5,randomness_0.4324,0.03343658149242401,0.032684313505887984,0.032372237741947175,-0.0003120757639408084,0.0003120757639408084,0.9548181695313528,0.0005980646495096384,0.0005634327824456385,0.0007522679865360274,0.0010643437504768358,False
Test,mirror_y,6,randomness_0.5435,0.01657457835972309,0.020329218357801437,0.019812466576695442,-0.0005167517811059952,0.0005167517811059952,2.541916624687585,0.000851384103700825,0.00042478268007800624,0.0037546399980783463,0.003237888216972351,False
Test,mirror_y,7,randomness_0.3614,0.03378213196992874,0.03368760943412781,0.03399353846907616,0.0003059290349483462,0.0003059290349483462,0.9081351870531351,0.00020268802402117266,0.00031664890416749136,9.452253580093106e-05,0.00021140649914741516,False
Test,mirror_y,8,randomness_0.4865,0.028001928701996803,0.03142721988260746,0.030644142255187034,-0.0007830776274204247,0.0007830776274204247,2.491717785873251,0.000429626148352744,0.00066161171597089,0.0034252911806106554,0.0026422135531902306,False
Test,mirror_y,9,randomness_0.2773,0.035752955824136734,0.03760512620210647,0.037808554619550704,0.00020342841744423051,0.00020342841744423051,0.5409592733472474,0.00031560432580799325,0.00029275497484636026,0.001852170377969739,0.0020555987954139696,False
Test,mirror_y,10,randomness_0.6627,0.02130408026278019,0.022804492339491843,0.021934489905834197,-0.0008700024336576462,0.0008700024336576462,3.8150484593380454,0.0009751313371816254,0.0006279606113353401,0.001500412076711654,0.0006304096430540078,False
