Dataset,Feature,Feature_Bin,Count,Feature_Min,Feature_Max,MAE,RMSE,Bias,Mean_Ensemble_Std
Prediction,Std_Center_Distance,3,10,50.86994171142578,50.95869064331055,0.0017582897096872386,0.0020859847621210676,-0.0017582897096872386,0.00036325582039108063
Prediction,Std_Center_Distance,4,15,51.08343505859375,51.20341873168945,0.002444809451699279,0.002637786718298212,-0.0004192594438791289,0.00036699102292679804
Prediction,Std_Center_Distance,5,10,51.231910705566406,51.256717681884766,0.003036497589200747,0.0030931068757767506,-0.003036497589200747,0.0004034943923430224
Test,Randomness_Value,1,100,0.0,0.1832,0.0018733476185934699,0.002319627526159569,2.9910387778728856e-05,0.0003765918180564773
Test,Randomness_Value,2,100,0.1892,0.3774,0.0018578692254768246,0.00227937036285694,0.00012064717188224147,0.00039474264998095
Test,Randomness_Value,3,100,0.3794,0.6046,0.002410541567789106,0.003043068502904925,-0.00015050795428685201,0.00042263221696240636
Test,Randomness_Value,4,100,0.6056,0.7798,0.002950412419837278,0.0035194794177829517,3.4177824205437523e-05,0.00046619081638108573
Test,Randomness_Value,5,100,0.7838,0.999,0.0024845545770215216,0.003083256158571031,0.0005951162094835142,0.000548855067484898
Test,Actual_Stiffness,1,100,3.28138928998337e-06,0.0127082773925969,0.002479756707029182,0.002994163927722351,0.0015948370967636828,0.0005387177401851906
Test,Actual_Stiffness,2,102,0.0129161671543746,0.022753084848221,0.00280000470529553,0.0034735587679676867,-0.00018011810274492119,0.00047481303708454337
Test,Actual_Stiffness,3,98,0.0229624278112811,0.0323633156716824,0.0027001837602880054,0.0032560407941936115,9.083274494373391e-05,0.00042836382894816203
Test,Actual_Stiffness,4,100,0.0324053633958101,0.0365901526063681,0.0016547200601424907,0.0019913398841563215,0.0003941270140405699,0.0003822406100242504
Test,Actual_Stiffness,5,100,0.0368950605392456,0.0441122628748417,0.0019400637570628418,0.0024703300246361267,-0.0012649160969862223,0.0003839483684609434
Test,Node_Count,1,500,117.0,121.0,0.00231534508174364,0.002888933053434218,0.00012586872781261398,0.0004418025137731634
Test,Edge_Count,1,101,230.0,256.0,0.0026146149331115463,0.0031839949405157416,0.000673735362871015,0.0005524859292949659
Test,Edge_Count,2,101,257.0,275.0,0.0029102559640289925,0.003515381041647134,-5.025823998005496e-05,0.0004590332652903361
Test,Edge_Count,3,108,276.0,291.0,0.0022447264357309737,0.0027932152986687264,-8.417208086768915e-05,0.0004046452057027421
Test,Edge_Count,4,114,292.0,297.0,0.0019900645887781306,0.0024988737139307205,-0.0001521869854827661,0.00039805143682861957
Test,Edge_Count,5,76,298.0,306.0,0.0017152995010654404,0.0021349807572833006,0.00034740888911928694,0.0003902404239356242
Test,Graph_Density,1,100,0.03168044077134986,0.03557422969187675,0.002546994557020697,0.0031059666432933846,0.0006628372557510934,0.0005370341525036816
Test,Graph_Density,2,102,0.03560746332431278,0.03787878787878788,0.0029736520089129878,0.003580127084013778,-3.247584473649404e-05,0.0004750982686543857
Test,Graph_Density,3,108,0.03801652892561983,0.04008264462809917,0.0022447264357309737,0.0027932152986687264,-8.417208086768915e-05,0.0004046452057027421
Test,Graph_Density,4,114,0.04022038567493113,0.04090909090909091,0.0019900645887781306,0.0024988737139307205,-0.0001521869854827661,0.00039805143682861957
Test,Graph_Density,5,76,0.04104683195592287,0.04214876033057851,0.0017152995010654404,0.0021349807572833006,0.00034740888911928694,0.0003902404239356242
Test,Total_Edge_Weight,1,101,230.0,256.0,0.0026146149331115463,0.0031839949405157416,0.000673735362871015,0.0005524859292949659
Test,Total_Edge_Weight,2,101,257.0,275.0,0.0029102559640289925,0.003515381041647134,-5.025823998005496e-05,0.0004590332652903361
Test,Total_Edge_Weight,3,108,276.0,291.0,0.0022447264357309737,0.0027932152986687264,-8.417208086768915e-05,0.0004046452057027421
Test,Total_Edge_Weight,4,114,292.0,297.0,0.0019900645887781306,0.0024988737139307205,-0.0001521869854827661,0.00039805143682861957
Test,Total_Edge_Weight,5,76,298.0,306.0,0.0017152995010654404,0.0021349807572833006,0.00034740888911928694,0.0003902404239356242
Test,Mean_Degree,1,105,3.8016529083251953,4.264462947845459,0.0026230897980608924,0.003163745561878906,0.0007399414792245729,0.000545541838890028
