Split_Seed,Comparison,Feature,Train_Mean,Comparison_Mean,Standardized_Mean_Difference,Absolute_Standardized_Mean_Difference,Normalized_Wasserstein,KS_Statistic
11,Prediction_vs_Train,Mean_Edge_Weight,1.0,1.0,0.0,0.0,0.0,0.0
11,Prediction_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0,0.0
11,Prediction_vs_Train,Mean_Degree,4.588215681314469,4.853146883157583,0.8109742302302283,0.8109742302302283,0.8131245706566508,0.4593269230769231
11,Prediction_vs_Train,Std_Degree,1.3491741450130939,1.3238816903187678,-0.33575215524434926,0.33575215524434926,0.47623480969259363,0.2843269230769231
11,Prediction_vs_Train,Mean_Weighted_Degree,4.588215681314469,4.853146883157583,0.8109742302302283,0.8109742302302283,0.8131245706566508,0.4593269230769231
11,Prediction_vs_Train,Std_Weighted_Degree,1.3491741450130939,1.3238816903187678,-0.33575215524434926,0.33575215524434926,0.47623480969259363,0.2843269230769231
11,Prediction_vs_Train,Mean_Center_Distance,136.12914497375488,136.0590327336238,-0.12261711945762634,0.12261711945762634,0.43624335482646887,0.2673076923076923
11,Prediction_vs_Train,Std_Center_Distance,50.904987478256224,50.943929818960335,0.07729417711892846,0.07729417711892846,0.37818947785076046,0.2275
42,Test_vs_Train,Randomness_Value,0.4979168749999999,0.481711,-0.055955208670375234,0.055955208670375234,0.08498353500844824,0.1025
42,Test_vs_Train,Actual_Stiffness,0.024931906890459654,0.02499363362139289,0.005079090895054412,0.005079090895054412,0.09615106792374416,0.11375
42,Test_vs_Train,Node_Count,120.8075,120.8,-0.014226000087902245,0.014226000087902245,0.09009800055662551,0.0275
42,Test_vs_Train,Edge_Count,277.44375,277.59,0.007283181967389985,0.007283181967389985,0.06467714584718517,0.0875
42,Test_vs_Train,Graph_Density,0.03832656941782074,0.038350609721406415,0.00919277513183335,0.00919277513183335,0.06299947835093676,0.0875
42,Test_vs_Train,Total_Edge_Weight,277.44375,277.59,0.007283181967389985,0.007283181967389985,0.06467714584718517,0.0875
42,Test_vs_Train,Mean_Edge_Weight,1.0,1.0,0.0,0.0,0.0,0.0
42,Test_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0,0.0
42,Test_vs_Train,Mean_Degree,4.592444404065609,4.595102467536926,0.008239966051467379,0.008239966051467379,0.062189913090461485,0.0875
42,Test_vs_Train,Std_Degree,1.3458741776645184,1.3466660618782043,0.010510496478602858,0.010510496478602858,0.0808142723118041,0.07375
42,Test_vs_Train,Mean_Weighted_Degree,4.592444404065609,4.595102467536926,0.008239966051467379,0.008239966051467379,0.062189913090461485,0.0875
42,Test_vs_Train,Std_Weighted_Degree,1.3458741776645184,1.3466660618782043,0.010510496478602858,0.010510496478602858,0.0808142723118041,0.07375
42,Test_vs_Train,Mean_Center_Distance,136.13033639907837,136.11470993041993,-0.027541065439998624,0.027541065439998624,0.07122545367414641,0.07625
42,Test_vs_Train,Std_Center_Distance,50.91087800979614,50.888283004760744,-0.04374043351602443,0.04374043351602443,0.10193990920758814,0.05125
42,Prediction_vs_Train,Randomness_Value,0.4979168749999999,0.2341769230769231,-0.9106342017676038,0.9106342017676038,0.9108215147062987,0.495
42,Prediction_vs_Train,Actual_Stiffness,0.024931906890459654,0.03681883914396167,0.9780982803737467,0.9780982803737467,0.9785525089323137,0.5729807692307692
42,Prediction_vs_Train,Node_Count,120.8075,121.0,0.36513400225578924,0.36513400225578924,0.3651340022557979,0.1425
42,Prediction_vs_Train,Edge_Count,277.44375,293.61538461538464,0.8053398811215547,0.8053398811215547,0.8069583660031973,0.45182692307692307
42,Prediction_vs_Train,Graph_Density,0.03832656941782074,0.04044289044289044,0.8092602999335967,0.8092602999335967,0.8109721015390426,0.45182692307692307
42,Prediction_vs_Train,Total_Edge_Weight,277.44375,293.61538461538464,0.8053398811215547,0.8053398811215547,0.8069583660031973,0.45182692307692307
42,Prediction_vs_Train,Mean_Edge_Weight,1.0,1.0,0.0,0.0,0.0,0.0
42,Prediction_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0,0.0
42,Prediction_vs_Train,Mean_Degree,4.592444404065609,4.853146883157583,0.8081746731904011,0.8081746731904011,0.8098399536442444,0.45182692307692307
42,Prediction_vs_Train,Std_Degree,1.3458741776645184,1.3238816903187678,-0.2919012108188611,0.2919012108188611,0.452964816970841,0.2630769230769231
42,Prediction_vs_Train,Mean_Weighted_Degree,4.592444404065609,4.853146883157583,0.8081746731904011,0.8081746731904011,0.8098399536442444,0.45182692307692307
42,Prediction_vs_Train,Std_Weighted_Degree,1.3458741776645184,1.3238816903187678,-0.2919012108188611,0.2919012108188611,0.452964816970841,0.2630769230769231
42,Prediction_vs_Train,Mean_Center_Distance,136.13033639907837,136.0590327336238,-0.12567003840214191,0.12567003840214191,0.4289726529905805,0.2748076923076923
42,Prediction_vs_Train,Std_Center_Distance,50.91087800979614,50.943929818960335,0.06398318827837161,0.06398318827837161,0.38199402562363555,0.2275
73,Test_vs_Train,Randomness_Value,0.49778400000000006,0.5031439999999999,0.018521003942382295,0.018521003942382295,0.04071770153098001,0.04
73,Test_vs_Train,Actual_Stiffness,0.02482684468133404,0.024838628820653588,0.0009553663549303655,0.0009553663549303655,0.06899006190387205,0.07125
73,Test_vs_Train,Node_Count,120.81125,120.75,-0.11614146470982419,0.11614146470982419,0.1256224006045014,0.03875
73,Test_vs_Train,Edge_Count,277.43125,277.15,-0.013922750855663262,0.013922750855663262,0.06268331829683062,0.05
73,Test_vs_Train,Graph_Density,0.03832218894289149,0.03832088937880654,-0.0004941877325887257,0.0004941877325887257,0.048028617974792666,0.05
73,Test_vs_Train,Total_Edge_Weight,277.43125,277.15,-0.013922750855663262,0.013922750855663262,0.06268331829683062,0.05
73,Test_vs_Train,Mean_Edge_Weight,1.0,1.0,0.0,0.0,0.0,0.0
73,Test_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0,0.0
73,Test_vs_Train,Mean_Degree,4.592079210281372,4.589652853012085,-0.007478162080019743,0.007478162080019743,0.055238719761215874,0.05
73,Test_vs_Train,Std_Degree,1.3464515726268291,1.348274713754654,0.024728551403303666,0.024728551403303666,0.10248512253136817,0.08
73,Test_vs_Train,Mean_Weighted_Degree,4.592079210281372,4.589652853012085,-0.007478162080019743,0.007478162080019743,0.055238719761215874,0.05
73,Test_vs_Train,Std_Weighted_Degree,1.3464515726268291,1.348274713754654,0.024728551403303666,0.024728551403303666,0.10248512253136817,0.08
73,Test_vs_Train,Mean_Center_Distance,136.13748947143554,136.0347750854492,-0.1868227095429588,0.1868227095429588,0.19655331051481478,0.0775
73,Test_vs_Train,Std_Center_Distance,50.93227385044098,50.85632740020752,-0.15219531612690682,0.15219531612690682,0.1819532564290858,0.11125
73,Prediction_vs_Train,Randomness_Value,0.49778400000000006,0.2341769230769231,-0.9108708415918477,0.9108708415918477,0.911013377303158,0.4975
73,Prediction_vs_Train,Actual_Stiffness,0.02482684468133404,0.03681883914396167,0.9722176331621502,0.9722176331621502,0.9728033334016827,0.5704807692307692
73,Prediction_vs_Train,Node_Count,120.81125,121.0,0.3579053300241433,0.3579053300241433,0.35790533002414543,0.14125
73,Prediction_vs_Train,Edge_Count,277.43125,293.61538461538464,0.8011650633405022,0.8011650633405022,0.8032689456920222,0.45182692307692307
73,Prediction_vs_Train,Graph_Density,0.03832218894289149,0.04044289044289044,0.8064432357896503,0.8064432357896503,0.808669345526971,0.45182692307692307
73,Prediction_vs_Train,Total_Edge_Weight,277.43125,293.61538461538464,0.8011650633405022,0.8011650633405022,0.8032689456920222,0.45182692307692307
73,Prediction_vs_Train,Mean_Edge_Weight,1.0,1.0,0.0,0.0,0.0,0.0
73,Prediction_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0,0.0
73,Prediction_vs_Train,Mean_Degree,4.592079210281372,4.853146883157583,0.8046244451855565,0.8046244451855565,0.806789522452282,0.45182692307692307
73,Prediction_vs_Train,Std_Degree,1.3464515726268291,1.3238816903187678,-0.30613126230511734,0.30613126230511734,0.46187323851844775,0.2818269230769231
73,Prediction_vs_Train,Mean_Weighted_Degree,4.592079210281372,4.853146883157583,0.8046244451855565,0.8046244451855565,0.806789522452282,0.45182692307692307
73,Prediction_vs_Train,Std_Weighted_Degree,1.3464515726268291,1.3238816903187678,-0.30613126230511734,0.30613126230511734,0.46187323851844775,0.2818269230769231
73,Prediction_vs_Train,Mean_Center_Distance,136.13748947143554,136.0590327336238,-0.14270153298526508,0.14270153298526508,0.42592780303869027,0.2748076923076923
73,Prediction_vs_Train,Std_Center_Distance,50.93227385044098,50.943929818960335,0.023358350628837853,0.023358350628837853,0.3566255393448147,0.20875
101,Test_vs_Train,Randomness_Value,0.49929262499999993,0.45292899999999997,-0.16127325561413758,0.16127325561413758,0.16367338171242607,0.125
101,Test_vs_Train,Actual_Stiffness,0.024839562353988674,0.026279798963398774,0.11884428245459408,0.11884428245459408,0.13348886411093724,0.12125
101,Test_vs_Train,Node_Count,120.8025,120.86,0.10705319669894041,0.10705319669894041,0.13963460438991118,0.035
101,Test_vs_Train,Edge_Count,277.27625,280.62,0.1669752765578362,0.1669752765578362,0.16847337249704666,0.1
101,Test_vs_Train,Graph_Density,0.038305864212179165,0.0387351823806738,0.16529013839455128,0.16529013839455128,0.17152503314284873,0.1
101,Test_vs_Train,Total_Edge_Weight,277.27625,280.62,0.1669752765578362,0.1669752765578362,0.16847337249704666,0.1
101,Test_vs_Train,Mean_Edge_Weight,1.0,1.0,0.0,0.0,0.0,0.0
101,Test_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0,0.0
101,Test_vs_Train,Mean_Degree,4.589815447926521,4.64322598695755,0.16635482950056252,0.16635482950056252,0.1693507976450286,0.1
101,Test_vs_Train,Std_Degree,1.34893250644207,1.3301634323596954,-0.24854717773116083,0.24854717773116083,0.2530687677215043,0.13
101,Test_vs_Train,Mean_Weighted_Degree,4.589815447926521,4.64322598695755,0.16635482950056252,0.16635482950056252,0.1693507976450286,0.1
101,Test_vs_Train,Std_Weighted_Degree,1.34893250644207,1.3301634323596954,-0.24854717773116083,0.24854717773116083,0.2530687677215043,0.13
101,Test_vs_Train,Mean_Center_Distance,136.11894622802734,136.15122146606444,0.05610301652587558,0.05610301652587558,0.11356001011109991,0.0625
101,Test_vs_Train,Std_Center_Distance,50.91143190860748,50.99578037261963,0.16691994099479052,0.16691994099479052,0.17327941329260227,0.0975
101,Prediction_vs_Train,Randomness_Value,0.49929262499999993,0.2341769230769231,-0.9221900221037919,0.9221900221037919,0.9223248117940946,0.49875
101,Prediction_vs_Train,Actual_Stiffness,0.024839562353988674,0.03681883914396167,0.9884962964609182,0.9884962964609182,0.9888270103674961,0.5804807692307692
101,Prediction_vs_Train,Node_Count,120.8025,121.0,0.3677044582267757,0.3677044582267757,0.36770445822676623,0.145
101,Prediction_vs_Train,Edge_Count,277.27625,293.61538461538464,0.8159197072507108,0.8159197072507108,0.8172929618616529,0.4555769230769231
101,Prediction_vs_Train,Graph_Density,0.038305864212179165,0.04044289044289044,0.8227682575503884,0.8227682575503884,0.8242266142075652,0.4555769230769231
101,Prediction_vs_Train,Total_Edge_Weight,277.27625,293.61538461538464,0.8159197072507108,0.8159197072507108,0.8172929618616529,0.4555769230769231
101,Prediction_vs_Train,Mean_Edge_Weight,1.0,1.0,0.0,0.0,0.0,0.0
101,Prediction_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0,0.0
101,Prediction_vs_Train,Mean_Degree,4.589815447926521,4.853146883157583,0.8201837465926505,0.8201837465926505,0.8215994926392199,0.4555769230769231
101,Prediction_vs_Train,Std_Degree,1.34893250644207,1.3238816903187678,-0.3317323816818391,0.3317323816818391,0.47339219221006207,0.28807692307692306
101,Prediction_vs_Train,Mean_Weighted_Degree,4.589815447926521,4.853146883157583,0.8201837465926505,0.8201837465926505,0.8215994926392199,0.4555769230769231
101,Prediction_vs_Train,Std_Weighted_Degree,1.34893250644207,1.3238816903187678,-0.3317323816818391,0.3317323816818391,0.47339219221006207,0.28807692307692306
101,Prediction_vs_Train,Mean_Center_Distance,136.11894622802734,136.0590327336238,-0.10414571575832589,0.10414571575832589,0.42977045789253615,0.26605769230769233
101,Prediction_vs_Train,Std_Center_Distance,50.91143190860748,50.943929818960335,0.06431118031705965,0.06431118031705965,0.36472981892127626,0.2175
202,Test_vs_Train,Randomness_Value,0.503192,0.49034099999999997,-0.04482070626450711,0.04482070626450711,0.09799712080332693,0.07625
202,Test_vs_Train,Actual_Stiffness,0.024753280771033063,0.02434837608135609,-0.032929014649669026,0.032929014649669026,0.06511718622079479,0.05625
202,Test_vs_Train,Node_Count,120.79875,120.87,0.13270930897345334,0.13270930897345334,0.1327093089734417,0.04125
202,Test_vs_Train,Edge_Count,277.2025,276.71,-0.02430598137048648,0.02430598137048648,0.06452806221707745,0.06125
202,Test_vs_Train,Graph_Density,0.03829820125286215,0.03818919961877453,-0.04138902312091348,0.04138902312091348,0.06364856263791487,0.06375
202,Test_vs_Train,Total_Edge_Weight,277.2025,276.71,-0.02430598137048648,0.02430598137048648,0.06452806221707745,0.06125
202,Test_vs_Train,Mean_Edge_Weight,1.0,1.0,0.0,0.0,0.0,0.0
202,Test_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0,0.0
202,Test_vs_Train,Mean_Degree,4.588745353519917,4.578168222904205,-0.03252554627822126,0.03252554627822126,0.06165014251524642,0.0625
202,Test_vs_Train,Std_Degree,1.3476357524096967,1.340870473384857,-0.09056406511764678,0.09056406511764678,0.184140752045851,0.11
202,Test_vs_Train,Mean_Weighted_Degree,4.588745353519917,4.578168222904205,-0.03252554627822126,0.03252554627822126,0.06165014251524642,0.0625
202,Test_vs_Train,Std_Weighted_Degree,1.3476357524096967,1.340870473384857,-0.09056406511764678,0.09056406511764678,0.184140752045851,0.11
202,Test_vs_Train,Mean_Center_Distance,136.1153173828125,136.21912948608397,0.18727916163480315,0.18727916163480315,0.19671781468733812,0.105
202,Test_vs_Train,Std_Center_Distance,50.92432515144348,50.874271125793456,-0.09919261839808025,0.09919261839808025,0.13075691875372794,0.06125
202,Prediction_vs_Train,Randomness_Value,0.503192,0.2341769230769231,-0.938249610418879,0.938249610418879,0.9384013262948815,0.5
202,Prediction_vs_Train,Actual_Stiffness,0.024753280771033063,0.03681883914396167,0.9812357291676927,0.9812357291676927,0.9818232580970995,0.5704807692307692
202,Prediction_vs_Train,Node_Count,120.79875,121.0,0.3748455920127069,0.3748455920127069,0.3748455920127038,0.15125
202,Prediction_vs_Train,Edge_Count,277.2025,293.61538461538464,0.8100127262892955,0.8100127262892955,0.8121101967628888,0.4593269230769231
202,Prediction_vs_Train,Graph_Density,0.03829820125286215,0.04044289044289044,0.8143601810767326,0.8143601810767326,0.8165830020035861,0.4593269230769231
202,Prediction_vs_Train,Total_Edge_Weight,277.2025,293.61538461538464,0.8100127262892955,0.8100127262892955,0.8121101967628888,0.4593269230769231
202,Prediction_vs_Train,Mean_Edge_Weight,1.0,1.0,0.0,0.0,0.0,0.0
202,Prediction_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0,0.0
202,Prediction_vs_Train,Mean_Degree,4.588745353519917,4.853146883157583,0.8130564423103523,0.8130564423103523,0.8152166226404294,0.4593269230769231
202,Prediction_vs_Train,Std_Degree,1.3476357524096967,1.3238816903187678,-0.31798606060635,0.31798606060635,0.4667736061398282,0.2843269230769231
202,Prediction_vs_Train,Mean_Weighted_Degree,4.588745353519917,4.853146883157583,0.8130564423103523,0.8130564423103523,0.8152166226404294,0.4593269230769231
202,Prediction_vs_Train,Std_Weighted_Degree,1.3476357524096967,1.3238816903187678,-0.31798606060635,0.31798606060635,0.4667736061398282,0.2843269230769231
202,Prediction_vs_Train,Mean_Center_Distance,136.1153173828125,136.0590327336238,-0.10153866052978296,0.10153866052978296,0.42288970988696123,0.27105769230769233
202,Prediction_vs_Train,Std_Center_Distance,50.92432515144348,50.943929818960335,0.03885078729565193,0.03885078729565193,0.37228702230550953,0.21875
