Sample_ID,Randomness_Value,Actual_Stiffness,Node_Count,Edge_Count,Graph_Density,Total_Edge_Weight,Mean_Edge_Weight,Std_Edge_Weight,Mean_Degree,Std_Degree,Mean_Weighted_Degree,Std_Weighted_Degree,Mean_Center_Distance,Std_Center_Distance
randomness_0.0961,0.0961,0.0344226974993944,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.2398898601531982,4.84297513961792,1.2398898601531982,136.00241088867188,50.72713851928711
randomness_0.0971,0.0971,0.0408303335309029,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.336085319519043,4.909090995788574,1.336085319519043,136.0432891845703,50.8240966796875
randomness_0.0981,0.0981,0.0354667957872152,121.0,299.0,0.04118457300275482,299.0,1.0,0.0,4.942148685455322,1.3684611320495605,4.942148685455322,1.3684611320495605,135.97750854492188,50.845951080322266
randomness_0.0991,0.0991,0.0352356549352407,121.0,286.0,0.03939393939393939,286.0,1.0,0.0,4.7272725105285645,1.2856487035751343,4.7272725105285645,1.2856487035751343,135.98085021972656,50.90638732910156
randomness_0.1001,0.1001,0.037224255502224,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.3130356073379517,4.859504222869873,1.3130356073379517,136.16213989257812,50.8528938293457
randomness_0.1011,0.1011,0.0365598505362868,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.390690803527832,4.84297513961792,1.390690803527832,136.06576538085938,50.780372619628906
randomness_0.1021,0.1021,0.0420161742717028,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.336085319519043,4.909090995788574,1.336085319519043,136.16250610351562,50.83881378173828
randomness_0.1031,0.1031,0.0385822132229805,121.0,296.0,0.04077134986225895,296.0,1.0,0.0,4.892561912536621,1.4071933031082153,4.892561912536621,1.4071933031082153,135.89434814453125,50.86931610107422
randomness_0.1041,0.1041,0.0358628667891026,121.0,289.0,0.03980716253443526,289.0,1.0,0.0,4.776859283447266,1.428676724433899,4.776859283447266,1.428676724433899,136.03590393066406,50.835975646972656
randomness_0.1051,0.1051,0.0374808698892593,121.0,292.0,0.04022038567493113,292.0,1.0,0.0,4.826446056365967,1.382761001586914,4.826446056365967,1.382761001586914,135.96246337890625,50.8817024230957
randomness_0.1061,0.1061,0.0406281433999538,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.2931177616119385,4.925619602203369,1.2931177616119385,136.07325744628906,50.766448974609375
randomness_0.1071,0.1071,0.0365901526063681,121.0,300.0,0.04132231404958678,300.0,1.0,0.0,4.958677768707275,1.319884181022644,4.958677768707275,1.319884181022644,135.94720458984375,50.77973937988281
randomness_0.1081,0.1081,0.039384538680315,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.323707938194275,4.84297513961792,1.323707938194275,135.8802032470703,50.90922546386719
randomness_0.1091,0.1091,0.0394290547817946,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.2682113647460938,4.859504222869873,1.2682113647460938,135.95077514648438,50.769649505615234
randomness_0.1101,0.1101,0.0357259644195437,121.0,296.0,0.04077134986225895,296.0,1.0,0.0,4.892561912536621,1.3894624710083008,4.892561912536621,1.3894624710083008,135.98287963867188,50.78248977661133
randomness_0.1111,0.1111,0.0374157171696424,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.2738001346588135,4.925619602203369,1.2738001346588135,135.9944305419922,50.782596588134766
randomness_0.1121,0.1121,0.0410379186272621,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.4780223369598389,4.925619602203369,1.4780223369598389,135.90042114257812,50.910736083984375
randomness_0.1131,0.1131,0.0320388097316027,121.0,299.0,0.04118457300275482,299.0,1.0,0.0,4.942148685455322,1.2939624786376953,4.942148685455322,1.2939624786376953,135.9219207763672,50.94186019897461
randomness_0.1141,0.1141,0.0380216337740421,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.267295479774475,4.925619602203369,1.267295479774475,135.80186462402344,50.88633346557617
randomness_0.1151,0.1151,0.0338554073125124,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.3624588251113892,4.859504222869873,1.3624588251113892,135.86654663085938,50.787384033203125
randomness_0.1161,0.1161,0.0339945819228888,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.368561029434204,4.809917449951172,1.368561029434204,136.07424926757812,50.703826904296875
randomness_0.1171,0.1171,0.0358096666634083,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.398429036140442,4.809917449951172,1.398429036140442,135.9031524658203,50.742130279541016
randomness_0.1181,0.1181,0.0372757166624069,121.0,299.0,0.04118457300275482,299.0,1.0,0.0,4.942148685455322,1.3563289642333984,4.942148685455322,1.3563289642333984,135.8169403076172,50.98243713378906
randomness_0.1191,0.1191,0.0366279747337103,121.0,300.0,0.04132231404958678,300.0,1.0,0.0,4.958677768707275,1.2817646265029907,4.958677768707275,1.2817646265029907,136.10093688964844,50.856746673583984
randomness_0.1201,0.1201,0.0346123669296503,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.3846861124038696,4.909090995788574,1.3846861124038696,135.83340454101562,50.85375213623047
randomness_0.1211,0.1211,0.0374036740511656,121.0,302.0,0.04159779614325069,302.0,1.0,0.0,4.991735458374023,1.2297676801681519,4.991735458374023,1.2297676801681519,136.037109375,50.81403350830078
randomness_0.1221,0.1221,0.033644669316709,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.2727272510528564,4.909090995788574,1.2727272510528564,135.8986053466797,50.812294006347656
randomness_0.1231,0.1231,0.03632049895823,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.3422566652297974,4.909090995788574,1.3422566652297974,135.9761962890625,50.87496566772461
randomness_0.1241,0.1241,0.0390386577695608,121.0,300.0,0.04132231404958678,300.0,1.0,0.0,4.958677768707275,1.3261308670043945,4.958677768707275,1.3261308670043945,136.02159118652344,51.14848327636719
randomness_0.1251,0.1251,0.0415224276483059,121.0,307.0,0.04228650137741047,307.0,1.0,0.0,5.074380397796631,1.2342581748962402,5.074380397796631,1.2342581748962402,136.00782775878906,50.870540618896484
randomness_0.1261,0.1261,0.0346332360059023,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.3174498081207275,4.84297513961792,1.3174498081207275,136.0335693359375,50.76829528808594
randomness_0.1271,0.1271,0.0410001292824745,121.0,298.0,0.04104683195592287,298.0,1.0,0.0,4.925619602203369,1.444083333015442,4.925619602203369,1.444083333015442,135.9033660888672,50.932804107666016
randomness_0.1281,0.1281,0.0370051935315132,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.374586582183838,4.809917449951172,1.374586582183838,135.9344024658203,50.86111068725586
randomness_0.1291,0.1291,0.0346995212137699,121.0,296.0,0.04077134986225895,296.0,1.0,0.0,4.892561912536621,1.3161530494689941,4.892561912536621,1.3161530494689941,135.92852783203125,50.90150451660156
randomness_0.1301,0.1301,0.0355821181088686,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.325615644454956,4.809917449951172,1.325615644454956,135.8874053955078,50.753517150878906
randomness_0.1311,0.1311,0.0360415406525135,121.0,292.0,0.04022038567493113,292.0,1.0,0.0,4.826446056365967,1.492004632949829,4.826446056365967,1.492004632949829,135.97071838378906,50.84593963623047
randomness_0.1321,0.1321,0.0396183460950851,121.0,302.0,0.04159779614325069,302.0,1.0,0.0,4.991735458374023,1.3205050230026245,4.991735458374023,1.3205050230026245,135.9988250732422,50.97307586669922
