Dataset,Sample_ID,Split_Count,Mean_Predicted_Stiffness,Std_Predicted_Across_Splits,Mean_Residual,Mean_Absolute_Error,Max_Absolute_Error,Mean_Ensemble_Std,Randomness_Value,Actual_Stiffness,Node_Count,Edge_Count,Graph_Density,Total_Edge_Weight,Mean_Edge_Weight,Std_Edge_Weight,Mean_Degree,Std_Degree,Mean_Weighted_Degree,Std_Weighted_Degree,Mean_Center_Distance,Std_Center_Distance
Test,randomness_0.9530,1,-0.002723504649475217,,-0.002870726416163917,0.002870726416163917,0.002870726416163917,0.0004273879722446272,0.953,0.0001472217666887,121.0,230.0,0.03168044077134986,230.0,1.0,0.0,3.8016529083251953,1.289626955986023,3.8016529083251953,1.289626955986023,138.7244110107422,51.23442077636719
Test,randomness_0.4244,2,0.03229525238275528,7.861862386979275e-05,0.0028513749130069793,0.0028513749130069793,0.002906966675072866,0.0003515734480553708,0.4244,0.0294438774697483,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.3423075675964355,4.84297513961792,1.3423075675964355,136.06301879882812,50.973304748535156
Test,randomness_0.0070,2,0.038246542587876325,0.0001428551625208596,0.0028481472283602254,0.0028481472283602254,0.0029491610825062298,0.0004301697423707929,0.007,0.0353983953595161,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.336085319519043,4.909090995788574,1.336085319519043,135.9758758544922,50.8465690612793
Test,randomness_0.1942,1,0.036562947928905486,,0.002809884399175684,0.002809884399175684,0.002809884399175684,0.00024053882638210084,0.1942,0.0337530635297298,121.0,295.0,0.040633608815427,295.0,1.0,0.0,4.876032829284668,1.2957031726837158,4.876032829284668,1.2957031726837158,135.81256103515625,51.12004852294922
Test,randomness_0.4414,2,0.03060783687978983,0.00012423231408851615,0.0028017779812216283,0.0028017779812216283,0.0028896234929561143,0.0002833484730439768,0.4414,0.0278060588985682,121.0,289.0,0.03980716253443526,289.0,1.0,0.0,4.776859283447266,1.2823505401611328,4.776859283447266,1.2823505401611328,135.88079833984375,50.200923919677734
Test,randomness_0.7397,1,0.012203337624669075,,0.0027913955946994758,0.0027913955946994758,0.0027913955946994758,0.000762696755000536,0.7397,0.0094119420299696,120.0,259.0,0.03627450980392157,259.0,1.0,0.0,4.316666603088379,1.224631428718567,4.316666603088379,1.224631428718567,137.14830017089844,51.60493850708008
Test,randomness_0.5345,1,0.02136772871017456,,0.002781385424625662,0.002781385424625662,0.002781385424625662,0.00030436596780845384,0.5345,0.0185863432855489,121.0,274.0,0.03774104683195592,274.0,1.0,0.0,4.52892541885376,1.379150390625,4.52892541885376,1.379150390625,135.0908966064453,51.688236236572266
Test,randomness_0.1071,2,0.039337306097149846,0.00021436888140292788,0.0027471534907817473,0.0027471534907817473,0.0028987351804971306,0.0003652582614512836,0.1071,0.0365901526063681,121.0,300.0,0.04132231404958678,300.0,1.0,0.0,4.958677768707275,1.319884181022644,4.958677768707275,1.319884181022644,135.94720458984375,50.77973937988281
Test,randomness_0.1091,1,0.03670728579163551,,-0.002721768990159086,0.002721768990159086,0.002721768990159086,0.00031982820728755347,0.1091,0.0394290547817946,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.2682113647460938,4.859504222869873,1.2682113647460938,135.95077514648438,50.769649505615234
Test,randomness_0.8899,1,0.006115846149623394,,0.002716331214242094,0.002716331214242094,0.002716331214242094,0.000616645371006893,0.8899,0.0033995149353813,121.0,245.0,0.0337465564738292,245.0,1.0,0.0,4.049586772918701,1.3956912755966187,4.049586772918701,1.3956912755966187,137.90249633789062,49.51005935668945
Test,randomness_0.0541,1,0.03522520661354065,,-0.0026920985430479508,0.0026920985430479508,0.0026920985430479508,0.0005363515055623205,0.0541,0.0379173051565886,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.3545653820037842,4.84297513961792,1.3545653820037842,135.95852661132812,50.86852264404297
Test,randomness_0.6617,1,0.020297403261065484,,0.002678818185696083,0.002678818185696083,0.002678818185696083,0.00045233624185057696,0.6617,0.0176185850753694,121.0,273.0,0.03760330578512397,273.0,1.0,0.0,4.512396812438965,1.2734782695770264,4.512396812438965,1.2734782695770264,136.78341674804688,51.82912063598633
Test,randomness_0.2843,1,0.033691804856061935,,0.002675313130021135,0.002675313130021135,0.002675313130021135,0.0002200063473992831,0.2843,0.0310164917260408,121.0,290.0,0.03994490358126722,290.0,1.0,0.0,4.793388366699219,1.3355741500854492,4.793388366699219,1.3355741500854492,135.73587036132812,51.16735076904297
Test,randomness_0.4625,1,0.02675505205988884,,0.0026497120968997367,0.0026497120968997367,0.0026497120968997367,0.0004062489066323581,0.4625,0.0241053399629891,121.0,282.0,0.03884297520661157,282.0,1.0,0.0,4.661157131195068,1.3145952224731445,4.661157131195068,1.3145952224731445,135.88375854492188,50.88782501220703
Test,randomness_0.8999,3,0.0028069186587041865,0.0005505606171504725,0.0026462023058486865,0.0026462023058486865,0.003083823649341527,0.0008738464863590292,0.8999,0.0001607163528555,121.0,240.0,0.03305785123966942,240.0,1.0,0.0,3.966942071914673,1.2787771224975586,3.966942071914673,1.2787771224975586,137.3071746826172,50.73039627075195
Test,randomness_0.1341,1,0.03913871049880981,,0.002642033249139815,0.002642033249139815,0.002642033249139815,0.00025740840111871104,0.1341,0.03649667724967,121.0,301.0,0.04146005509641873,301.0,1.0,0.0,4.97520637512207,1.2495473623275757,4.97520637512207,1.2495473623275757,135.998779296875,50.719581604003906
Test,randomness_0.3113,1,0.037014291435480115,,0.0025693695467796165,0.0025693695467796165,0.0025693695467796165,9.715281532700405e-05,0.3113,0.0344449218887005,121.0,299.0,0.04118457300275482,299.0,1.0,0.0,4.942148685455322,1.312983512878418,4.942148685455322,1.312983512878418,135.61434936523438,50.934120178222656
Test,randomness_0.9780,3,0.002568081587863465,0.00044835688947519403,0.0025648001985734818,0.0025648001985734818,0.0030625933875129737,0.0011185481603047892,0.978,3.28138928998337e-06,120.0,234.0,0.03277310924369748,234.0,1.0,0.0,3.9000000953674316,1.502220630645752,3.9000000953674316,1.502220630645752,134.45729064941406,51.0107536315918
Test,randomness_0.0320,1,0.03470087647438049,,0.002561103180050893,0.002561103180050893,0.002561103180050893,0.00041821564775141923,0.032,0.0321397732943296,121.0,289.0,0.03980716253443526,289.0,1.0,0.0,4.776859283447266,1.3390978574752808,4.776859283447266,1.3390978574752808,135.9979248046875,50.83145523071289
Test,randomness_0.0260,1,0.03759701251983642,,0.00255465433001522,0.00255465433001522,0.00255465433001522,0.00022067508754163224,0.026,0.0350423581898212,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.2264306545257568,4.909090995788574,1.2264306545257568,135.9590301513672,50.84021759033203
