Seed,Dataset,Sample_ID,Control_Absolute_Error,Weighted_Absolute_Error,Absolute_Error_Reduction,Weighted_Improved
11,Train,randomness_0.9510,0.004209842532873154,0.0044858697801828384,-0.00027602724730968475,False
11,Train,randomness_0.9520,0.0029619280248880386,0.002942778170108795,1.914985477924347e-05,True
11,Train,randomness_0.9530,0.0029997285455465317,0.003144633024930954,-0.0001449044793844223,False
11,Train,randomness_0.9540,0.003315563313663006,0.0032584192231297493,5.714409053325653e-05,True
11,Train,randomness_0.9550,0.0022106452379375696,0.0024697466287761927,-0.00025910139083862305,False
11,Train,randomness_0.9560,0.0023976657539606094,0.0025521183852106333,-0.00015445263125002384,False
11,Train,randomness_0.9570,0.001437552273273468,0.0016508456319570541,-0.00021329335868358612,False
11,Train,randomness_0.9580,0.001469635870307684,0.0015481081791222095,-7.84723088145256e-05,False
11,Train,randomness_0.9590,0.0022928472608327866,0.0021549127995967865,0.00013793446123600006,True
11,Train,randomness_0.9600,0.007485790643841028,0.007407455239444971,7.833540439605713e-05,True
11,Train,randomness_0.9610,0.001948231365531683,0.002284436021000147,-0.0003362046554684639,False
11,Train,randomness_0.9620,0.004776701796799898,0.00493410462513566,-0.00015740282833576202,False
11,Train,randomness_0.9630,0.003671668004244566,0.003809573594480753,-0.00013790559023618698,False
11,Train,randomness_0.9640,0.0023055095225572586,0.002297310158610344,8.199363946914673e-06,True
11,Train,randomness_0.9650,0.0035251863300800323,0.0035578273236751556,-3.264099359512329e-05,False
11,Train,randomness_0.9660,0.002073015086352825,0.002078777179121971,-5.7620927691459656e-06,False
11,Train,randomness_0.9670,4.1404739022254944e-05,0.00034854188561439514,-0.0003071371465921402,False
11,Train,randomness_0.9680,0.0004516578046604991,0.0007381605682894588,-0.00028650276362895966,False
11,Train,randomness_0.9690,0.001703161746263504,0.0014670025557279587,0.00023615919053554535,True
11,Train,randomness_0.9700,0.00322319776751101,0.0032977110240608454,-7.45132565498352e-05,False
11,Train,randomness_0.9710,0.002675363328307867,0.0027016974054276943,-2.633407711982727e-05,False
