Dataset,Sample_ID,Control_Absolute_Error,Adapted_Absolute_Error,Absolute_Error_Reduction,Adapted_Improved
Train,randomness_0.6577,0.00013995543,0.00034917332,-0.00020921789,False
Train,randomness_0.2703,0.005779512,0.005497288,0.00028222427,True
Train,randomness_0.3984,0.0019734986,0.0024836138,-0.0005101152,False
Train,randomness_0.7848,0.0013000732,0.0018462967,-0.0005462235,False
Train,randomness_0.7437,0.000740258,1.4184043e-05,0.000726074,True
Train,randomness_0.8328,0.0036919045,0.00419957,-0.00050766557,False
Train,randomness_0.7207,0.0009477027,0.00032988563,0.00061781704,True
Train,randomness_0.9389,0.0036446548,0.0041335635,-0.0004889087,False
Train,randomness_0.6176,0.0063094683,0.005840935,0.0004685335,True
Train,randomness_0.9850,0.0016911235,0.0009757988,0.00071532466,True
Train,randomness_0.1111,0.00045651942,0.00024500117,0.00021151826,True
Train,randomness_0.9149,0.0044128075,0.0037782579,0.00063454965,True
Train,randomness_0.2462,0.0012395792,0.0014173985,-0.00017781928,False
Train,randomness_0.7708,0.0007499801,0.0012488365,-0.0004988564,False
Train,randomness_0.2603,0.0036991313,0.003373813,0.00032531843,True
Train,randomness_0.0561,0.0038912203,0.0036376026,0.00025361776,True
Train,randomness_0.6116,0.0022203252,0.002024306,0.00019601919,True
Train,randomness_0.1141,6.418675e-05,3.299862e-05,3.118813e-05,True
Train,randomness_0.9830,0.002983846,0.0037803857,-0.0007965397,False
Train,randomness_0.8559,0.001887111,0.0010921732,0.00079493783,True
Train,randomness_0.6156,0.00020338781,0.00040943734,-0.00020604953,False
Train,randomness_0.7217,0.003247466,0.0026611146,0.0005863514,True
Train,randomness_0.5806,0.00032837503,0.0008328352,-0.0005044602,False
Train,randomness_0.3794,0.0027892087,0.0032971445,-0.0005079359,False
Train,randomness_0.6937,0.0020629913,0.0028012916,-0.0007383004,False
Train,randomness_0.3173,0.0059434585,0.006268684,-0.0003252253,False
Train,randomness_0.0751,0.0002501011,0.00055220723,-0.00030210614,False
Train,randomness_0.8048,0.0020663477,0.0026684236,-0.00060207583,False
